frame,obj_cls,obj_id,x,y,w,h
41,0,7,77.52327,428.86154,151.198,78.88849
41,0,8,880.5125,652.5601,78.42297,134.87976
41,0,9,1052.7432,261.14838,72.49719,149.06422
42,0,1,929.55884,272.37787,72.8728,141.76118
42,0,2,567.5156,358.0606,120.596375,111.96448
42,0,3,1051.6533,581.14453,151.3374,103.113525
42,0,4,581.79663,92.30424,137.3805,76.821365
42,0,5,683.1356,318.6383,114.759705,116.57419
42,0,6,648.2868,617.68787,91.430176,152.76251
42,0,7,77.53696,428.8202,151.09668,78.85983
42,0,8,880.5029,652.5482,78.48895,134.90363
42,0,9,1052.7333,261.10187,72.53418,148.93466
43,0,1,929.58203,272.3761,72.95221,141.83748
43,0,2,567.4956,358.0382,120.762146,111.98682
43,0,3,1051.6533,581.15564,151.47253,103.090515
43,0,4,581.75195,92.33867,137.25323,76.86401
43,0,5,683.1367,318.64008,114.63263,116.535
43,0,6,648.30884,617.69763,91.81085,152.77393
43,0,7,77.52514,428.80002,151.00215,78.83417
43,0,8,880.5057,652.5447,78.53894,134.9107
43,0,9,1052.7241,261.07556,72.59125,148.8678
44,0,1,929.59106,272.3721,73.003784,141.8636
44,0,2,567.49133,358.02597,120.906555,112.005615
44,0,3,1051.6407,581.15955,151.57965,103.05426
44,0,4,581.7426,92.353836,137.09277,76.87112
44,0,5,683.13464,318.63922,114.52887,116.50549
44,0,6,648.4979,617.60913,92.1308,152.89423
44,0,7,77.51768,428.7966,150.94203,78.82483
44,0,8,880.51575,652.5536,78.56964,134.89282
44,0,9,1052.7415,261.0905,72.68671,148.89597
45,0,1,929.6337,272.22174,73.16492,142.15747
45,0,2,567.0006,358.2777,120.64325,111.69882
45,0,3,1051.4442,581.2197,151.85052,103.113464
45,0,4,581.5703,92.42033,137.00958,77.053116
45,0,5,683.2106,319.005,114.56781,116.70853
45,0,6,649.06665,617.5112,92.13995,152.22345
45,0,7,77.35567,428.6776,150.90561,78.79593
45,0,8,879.9625,652.60315,78.74957,134.79376
45,0,9,1053.0984,261.3437,72.753174,148.46938
46,0,1,929.6615,272.15424,73.22052,142.24683
46,0,2,566.81885,358.377,120.576996,111.57999
46,0,3,1051.3556,581.2476,152.0376,103.12683
46,0,4,581.50195,92.43954,136.78094,77.13393
46,0,5,683.2558,319.1527,114.47583,116.76697
46,0,6,649.2849,617.48346,92.37909,152.00195
46,0,7,77.30008,428.6319,150.9332,78.80182
46,0,8,879.75195,652.61316,78.95154,134.77362
46,0,9,1053.2312,261.4384,72.928406,148.31421
47,0,1,929.671,272.13095,73.24805,142.28534
47,0,2,566.75543,358.40387,120.605835,111.557434
47,0,3,1051.3302,581.2636,152.19214,103.12793
47,0,4,581.4741,92.4453,136.49805,77.164345
47,0,5,683.27747,319.1883,114.38263,116.81247
47,0,6,649.3545,617.4773,92.67767,151.94586
47,0,7,77.28579,428.61493,150.91756,78.78433
47,0,8,879.6741,652.6185,79.13904,134.76288
47,0,9,1053.2704,261.48312,73.13129,148.27052
48,0,1,929.678,272.12003,73.25946,142.2902
48,0,2,566.73645,358.41028,120.65213,111.55588
48,0,3,1051.3062,581.2659,152.32672,103.12695
48,0,4,581.4585,92.45057,136.20197,77.16881
48,0,5,683.2841,319.21857,114.2489,116.80069
48,0,6,649.3516,617.47394,92.986694,151.94714
